TubeNo,ID
5988,Camp_aeth
18504,Camp_fall
2205,Camp_fall
9391,Camp_fall
10715,Camp_fall
6172C,Camp_fall
18693D,Camp_fall
1212,Camp_fall
18253,Camp_fall
12277,Camp_fall
7239,Camp_fall
18095,Camp_fall
10441,Camp_fall
12682B,Camp_fall
13585,Camp_fall
18745,Camp_herc
2409,Camp_herc
14403,Camp_herc
12731,Camp_herc
15896,Camp_herc
16582,Camp_herc
20285,Camp_herc
7204,Camp_herc
172,Camp_herc
11809,Camp_herc
12231,Camp_herc
6724,Camp_herc
3467,Camp_herc
10534,Camp_herc
3555,Camp_herc
288,Camp_herc
10848,Camp_herc
15971,Camp_herc
18713,Camp_herc
17164,Camp_herc
3560,Camp_herc
9641,Camp_herc
8902,Camp_herc
12621,Camp_herc
19828,Camp_herc
10504,Camp_herc
3455,Camp_lign
8864B,Camp_lign
6007,Camp_lign
15,Camp_lign
7927C,Camp_lign
6016,Camp_lign
14622B,Camp_lign
12933B,Camp_lign
19721,Camp_lign
18860,Camp_lign
18524,Camp_lign
17427,Camp_lign
14775,Camp_lign
18936,Camp_lign
437,Camp_lign
15170C,Camp_lign
14623B,Camp_lign
10336B,Camp_lign
18693,Camp_lign
17865,Camp_lign
17764,Camp_lign
17278,Camp_lign
12126,Camp_lign
15664,Camp_lign
15296,Camp_lign
14182,Camp_lign
12988,Camp_lign
11400,Camp_lign
11368,Camp_lign
10844,Camp_lign
10652,Camp_lign
10364,Camp_lign
10409,Camp_lign
2100,Camp_lign
2091,Camp_lign
2066,Camp_lign
1999,Camp_lign
1716,Camp_lign
1639,Camp_lign
1667,Camp_lign
1585,Camp_lign
4619,Camp_lign
4853,Camp_lign
1851,Camp_lign
4341,Camp_lign
1764,Camp_lign
9423,Camp_lign
6856,Camp_lign
5737,Camp_lign
3818,Camp_lign
2623,Camp_lign
2108,Camp_lign
2209,Camp_lign
15974,Camp_lign
13605,Camp_lign
17116,Camp_lign
16424,Camp_lign
16111,Camp_lign
15222,Camp_lign
14051,Camp_lign
13803,Camp_lign
13603,Camp_lign
13436,Camp_lign
13433,Camp_lign
12972,Camp_lign
12880,Camp_lign
12810,Camp_lign
12304,Camp_lign
12236,Camp_lign
12011,Camp_lign
11856,Camp_lign
11054,Camp_lign
10696,Camp_lign
8392,Camp_lign
8378,Camp_lign
7745,Camp_lign
7576,Camp_lign
8906,Camp_lign
10416,Camp_lign
5900,Camp_lign
5823,Camp_lign
1933,Camp_lign
4821,Camp_lign
16117,Camp_lign
3003,Camp_lign
7375,Camp_lign
7170,Camp_lign
7138,Camp_lign
6682,Camp_lign
6177,Camp_lign
5817,Camp_lign
5587,Camp_lign
5528,Camp_lign
5250,Camp_lign
4346,Camp_lign
3497,Camp_lign
2949,Camp_lign
1193,Camp_lign
1178,Camp_lign
558,Camp_lign
388,Camp_lign
6221,Camp_lign
6791,Camp_lign
16086,Camp_lign
10712,Camp_lign
16266,Camp_pice
5924,Camp_pice
5972,Camp_pice
18987,Camp_pice
3056,Camp_pice
5951,Camp_pice
17411,Camp_pice
17322,Camp_pice
17063,Camp_lign
16743,Camp_lign
17161,Camp_lign
16854,Camp_lign
17350,Camp_herc
17123,Camp_herc
17467,Camp_herc
17296,Camp_herc
17162,Camp_herc
16830,Camp_herc
16606,Camp_herc
17471,Camp_herc
