CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110;col;
5988;Camp_aeth;Camp_aeth;public;NA;oui;NA;NA;Ollon;2;564501;127125;430;Carriere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_aeth;2019;oui;Camp_aeth;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#BE1E2D;
18504;Camp_fall;Camp_fall;public;NA;non;NA;NA;Lonay;10;529502;153004;398;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
2205;Camp_fall;Camp_fall;public;NA;non;NA;NA;Nyon;9;507002;137664;409;ZoneConstruite;NA;NA;NA;NA;Gaël Pétremand;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
9391;Camp_fall;Camp_fall;public;NA;non;NA;NA;Eysins;8;505317;137075;424;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
10715;Camp_fall;Camp_fall;public;NA;non;NA;NA;Rolle;2;514460;144735;386;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
6172C;Camp_fall;Camp_fall;public;NA;non;NA;NA;Rolle;1;514472;144680;382;CulturePerm;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
18693D;Camp_fall;Camp_fall;public;NA;non;NA;NA;Rolle;3;514467;144707;383;transport;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
1212;Camp_fall;Camp_fall;public;NA;non;NA;NA;Bourg-en-Lavaux;1;545565;148625;372;lisiere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
18253;Camp_fall;Camp_fall;public;NA;oui;NA;NA;Faoug;5;571268;194837;432;ForetFeuillus;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
12277;Camp_fall;Camp_fall;public;NA;oui;NA;NA;Avenches;9;570370;194975;429;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_fall;2019;oui;Camp_fall;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#EF3E23;
