CATALOGUENUMBER	SPECIESSUMMARY	SPIECIESID_GENETIC
10016	Tapi_erra/nige_gr	Tapi_erra
1005	Tapi_erra/nige_gr	Tapi_erra
10183	Tapi_erra/nige_gr	Tapi_erra
102	Tapi_erra/nige_gr	Tapi_erra
10313	Tapi_erra/nige_gr	Tapi_erra
10333	Tapi_erra/nige_gr	Tapi_erra
10351	Tapi_erra/nige_gr	Tapi_erra
10358	Tapi_erra/nige_gr	Tapi_erra
1042	Tapi_erra/nige_gr	Tapi_erra
10543	Tapi_erra/nige_gr	Tapi_erra
10601B	Tapi_subb	Tapi_mag
10987	Tapi_erra/nige_gr	Tapi_erra
11013	Tapi_erra/nige_gr	Tapi_erra
11040	Tapi_erra/nige_gr	Tapi_erra
11385	Tapi_erra/nige_gr	Tapi_erra
11704B	Tapi_erra/nige_gr	Tapi_erra
11722	Tapi_erra/nige_gr	Tapi_erra
11753	Tapi_erra	Tapi_erra
12061	Tapi_erra/nige_gr	Tapi_erra
12085	Tapi_erra/nige_gr	Tapi_erra
12117C	Tapi_erra/nige_gr	Tapi_erra
12143	Tapi_erra/nige_gr	Tapi_erra
12221	Tapi_erra/nige_gr	Tapi_erra
12250	Tapi_erra/nige_gr	Tapi_erra
12384	Tapi_erra/nige_gr	Tapi_erra
12420	Tapi_erra/nige_gr	Tapi_erra
12422	Tapi_erra/nige_gr	Tapi_erra
12432	Tapi_erra/nige_gr	Tapi_erra
12446	Tapi_nige_gr	Tapi_mag
12482	Tapi_erra/nige_gr	Tapi_erra
12581	Tapi_erra/nige_gr	Tapi_erra
12625	Tapi_erra/nige_gr	Tapi_erra
12742	Tapi_erra/nige_gr	Tapi_erra
12753	Tapi_erra/nige_gr	Tapi_erra
12782	Tapi_erra/nige_gr	Tapi_erra
12837	Tapi_erra/nige_gr	Tapi_erra
1288	Tapi_erra/nige_gr	Tapi_erra
12883	Tapi_erra/nige_gr	Tapi_erra
12887	Tapi_erra/nige_gr	Tapi_erra
1300	Tapi_erra/nige_gr	Tapi_erra
13018B	Tapi_subb	Tapi_erra
13203	Tapi_erra/nige_gr	Tapi_erra
1325	Tapi_erra/nige_gr	Tapi_erra
13283	Tapi_erra	Tapi_erra
13464	Tapi_erra/nige_gr	Tapi_erra
13753B	Tapi_erra/nige_gr	Tapi_erra
138	Tapi_nige_gr	Tapi_mag
13927	Tapi_nige_gr	Tapi_dari
13940	Tapi_erra/nige_gr	Tapi_erra
13947	Tapi_erra/nige_gr	Tapi_erra
13977	Tapi_nige_gr	Tapi_dari
14014	Tapi_nige_gr	Tapi_mag
14079	Tapi_nige_gr	Tapi_mag
14083	Tapi_nige_gr	Tapi_mag
14092	Tapi_erra/nige_gr	Tapi_erra
14146	Tapi_nige_gr	Tapi_mag
14151	Tapi_nige_gr	Tapi_mag
14207	Tapi_nige_gr	Tapi_mag
14215	Tapi_subb	Tapi_subb
14320	Tapi_nige_gr	Tapi_mag
14399	Tapi_nige_gr	Tapi_mag
14465	Tapi_nige_gr	Tapi_mag
14762C	Tapi_subb	Tapi_subb
14808	Tapi_erra/nige_gr	Tapi_erra
14830C	Tapi_erra/nige_gr	Tapi_erra
1484	Tapi_erra/nige_gr	Tapi_erra
14922	Tapi_erra/nige_gr	Tapi_mag
14931	Tapi_erra/nige_gr	Tapi_mag
14991	Tapi_erra/nige_gr	Tapi_erra
1533	Tapi_erra	Tapi_erra
15406	Tapi_erra/nige_gr	Tapi_erra
15562	Tapi_nige_gr	Tapi_erra
15818	Tapi_erra	Tapi_erra
15956	Tapi_erra/nige_gr	Tapi_erra
16015	Tapi_erra/nige_gr	Tapi_erra
16112	Tapi_erra/nige_gr	Tapi_erra
16114	Tapi_erra/nige_gr	Tapi_erra
16132B	Tapi_erra/nige_gr	Tapi_erra
16190	Tapi_erra/nige_gr	Tapi_erra
16213	Tapi_erra/nige_gr	Tapi_erra
16254	Tapi_erra/nige_gr	Tapi_erra
16547	Tapi_erra/nige_gr	Tapi_erra
1657	Tapi_erra/nige_gr	Tapi_erra
16619B	Tapi_erra/nige_gr	Tapi_erra
16643	Tapi_erra/nige_gr	Tapi_erra
16895	Tapi_erra/nige_gr	Tapi_erra
17073	Tapi_erra/nige_gr	Tapi_erra
17133	Tapi_erra/nige_gr	Tapi_erra
17169	Tapi_subb	Tapi_subb
17249	Tapi_subb	Tapi_subb
17251	Tapi_erra	Tapi_erra
17259	Tapi_erra/nige_gr	Tapi_erra
17297	Tapi_erra/nige_gr	Tapi_erra
17324	Tapi_erra/nige_gr	Tapi_erra
17345	Tapi_subb	Tapi_subb
17348	Tapi_erra/nige_gr	Tapi_erra
17351	Tapi_subb	Tapi_subb
17690	Tapi_erra/nige_gr	Tapi_erra
1795	Tapi_erra/nige_gr	Tapi_erra
17975	Tapi_erra/nige_gr	Tapi_erra
18014	Tapi_erra/nige_gr	Tapi_erra
18015	Tapi_erra/nige_gr	Tapi_erra
18134B	Tapi_erra/nige_gr	Tapi_erra
1827	Tapi_erra/nige_gr	Tapi_erra
1835	Tapi_erra/nige_gr	Tapi_erra
18423	Tapi_subb	Tapi_subb
18463B	Tapi_nige_gr	Tapi_mag
18573	Tapi_erra/nige_gr	Tapi_erra
18652	Tapi_erra/nige_gr	Tapi_erra
18666	Tapi_nige_gr	Tapi_mag
18778	Tapi_subb	Tapi_subb
188	Tapi_nige_gr	Tapi_mag
18831	Tapi_subb	Tapi_subb
18892	Tapi_erra/nige_gr	Tapi_erra
18911	Tapi_nige_gr	Tapi_mag
18913	Tapi_erra/nige_gr	Tapi_erra
1914	Tapi_erra/nige_gr	Tapi_erra
1918	Tapi_erra/nige_gr	Tapi_erra
1936	Tapi_erra/nige_gr	Tapi_erra
1948	Tapi_erra/nige_gr	Tapi_erra
19708	Tapi_erra/nige_gr	Tapi_erra
1978	Tapi_erra/nige_gr	Tapi_erra
19848	Tapi_erra/nige_gr	Tapi_erra
1986	Tapi_nige_gr	Tapi_mag
2060B	Tapi_erra/nige_gr	Tapi_erra
2434	Tapi_erra/nige_gr	Tapi_erra
2496	Tapi_subb	Tapi_erra
272	Tapi_nige_gr	Tapi_dari
275	Tapi_nige_gr	Tapi_mag
278	Tapi_erra/nige_gr	Tapi_erra
3097	Tapi_erra/nige_gr	Tapi_erra
3111	Tapi_erra/nige_gr	Tapi_erra
3164	Tapi_erra/nige_gr	Tapi_erra
3250	Tapi_erra/nige_gr	Tapi_erra
330	Tapi_erra/nige_gr	Tapi_erra
3399	Tapi_erra	Tapi_erra
3461	Tapi_erra/nige_gr	Tapi_erra
3470	Tapi_erra/nige_gr	Tapi_erra
3500	Tapi_subb	Tapi_subb
3629	Tapi_subb	Tapi_erra
3661	Tapi_erra/nige_gr	Tapi_erra
3678	Tapi_nige_gr	Tapi_mag
3758	Tapi_nige_gr	Tapi_mag
3765	Tapi_nige_gr	Tapi_mag
3826	Tapi_erra/nige_gr	Tapi_erra
4041	Tapi_subb	Tapi_subb
4141	Tapi_subb	Tapi_subb
4345	Tapi_subb	Tapi_subb
4438	Tapi_erra/nige_gr	Tapi_subb
454	Tapi_erra/nige_gr	Tapi_erra
4683	Tapi_erra/nige_gr	Tapi_erra
4740	Tapi_erra/nige_gr	Tapi_erra
4824	Tapi_erra/nige_gr	Tapi_erra
4974	Tapi_erra/nige_gr	Tapi_erra
499	Tapi_erra/nige_gr	Tapi_erra
4997B	Tapi_erra/nige_gr	Tapi_erra
5070	Tapi_erra/nige_gr	Tapi_erra
5425	Tapi_erra/nige_gr	Tapi_erra
5582	Tapi_erra/nige_gr	Tapi_erra
5586	Tapi_erra/nige_gr	Tapi_erra
5637	Tapi_erra/nige_gr	Tapi_erra
5655	Tapi_erra/nige_gr	Tapi_erra
5676	Tapi_erra/nige_gr	Tapi_erra
5703	Tapi_subb	Tapi_erra
5711	Tapi_erra/nige_gr	Tapi_erra
5716	Tapi_erra/nige_gr	Tapi_erra
5725	Tapi_erra/nige_gr	Tapi_erra
5770	Tapi_erra/nige_gr	Tapi_erra
5815	Tapi_erra/nige_gr	Tapi_erra
5820	Tapi_subb	Tapi_subb
5829	Tapi_erra/nige_gr	Tapi_erra
5837	Tapi_erra	Tapi_erra
5855	Tapi_subb	Tapi_subb
5863	Tapi_erra/nige_gr	Tapi_erra
5870	Tapi	Tapi_erra
5874	Tapi_erra/nige_gr	Tapi_erra
5879	Tapi	Tapi_subb
5886	Tapi_erra/nige_gr	Tapi_erra
5889	Tapi_subb	Tapi_erra
5902	Tapi_erra/nige_gr	Tapi_erra
5907	Tapi_erra/nige_gr	Tapi_erra
5926	Tapi_erra/nige_gr	Tapi_erra
5965	Tapi_erra	Tapi_erra
5967	Tapi_erra/nige_gr	Tapi_erra
599B	Tapi_subb	Tapi_subb
6325	Tapi_erra/nige_gr	Tapi_erra
6355	Tapi_erra/nige_gr	Tapi_erra
6534	Tapi_erra	Tapi_erra
6594	Tapi_erra/nige_gr	Tapi_erra
6625B	Tapi_erra/nige_gr	Tapi_erra
6907	Tapi_erra/nige_gr	Tapi_erra
696	Tapi_erra	Tapi_erra
7034	Tapi_erra/nige_gr	Tapi_erra
7226C	Tapi_erra/nige_gr	Tapi_erra
7418	Tapi_erra	Tapi_erra
7459	Tapi_erra/nige_gr	Tapi_erra
7669B	Tapi_erra/nige_gr	Tapi_erra
7778	Tapi_erra/nige_gr	Tapi_erra
7977	Tapi_erra/nige_gr	Tapi_erra
8017	Tapi_erra/nige_gr	Tapi_erra
8074	Tapi_nige_gr	Tapi_mag
8161B	Tapi_erra/nige_gr	Tapi_erra
