CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECIESID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
19986C;Temn;Temn_lute_parv;public;NA;non;NA;NA;Trélex;NA;503279;142316;618;NA;1;NA;NA;NA;Anne Freitag;Temn;;2019;;NA;reine désailée;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18367B;Temn;Temn_affi;public;NA;non;NA;NA;Blonay;1;558603;148474;916;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3299B;Temn;Temn_affi;public;NA;non;NA;NA;Yvonand;NA;546585;183753;433;NA;1;NA;NA;NA;Anne Freitag;Temn;;2019;;;reine désailée;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16013;Temn;Temn_affi;public;NA;oui;NA;NA;Juriens;1;524649;171544;753;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16146C;Temn;Temn_affi;public;NA;non;NA;NA;Bière;1;514560;155741;773;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18973E;Temn;Temn_affi;public;NA;non;NA;NA;Signy-Avenex;2;505766;138325;437;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16076;Temn;Temn_affi;public;NA;oui;NA;NA;Lucens;9;554382;173670;521;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4195;Temn;Temn_affi;public;NA;non;NA;NA;Givrins;1;503958;143209;631;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4224;Temn;Temn_unif;public;NA;non;NA;NA;Lausanne;1;537377;151705;418;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1738;Temn;Temn_unif;public;NA;non;NA;NA;Agiez;2;529377;175388;470;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;sans doute 2 espèces différentes !;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9902B;Temn;Temn_unif;public;NA;oui;NA;NA;Crissier;1;534076;155920;459;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4070;Temn;Temn_unif;public;NA;non;NA;NA;Lausanne;1;537377;151705;418;NA;NA;NA;NA;NA;Gaël Pétremand;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4130;Temn;Temn_unif;public;NA;non;NA;NA;Lausanne;1;537377;151705;418;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14700;Temn;Temn_nyla;public;NA;non;NA;NA;Valbroye;3;556946;179779;556;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17323;Temn;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);5;534006;152793;405;NA;NA;NA;NA;5;Tanja Schwander;Temn;;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
