1,BDM,Plot_id,TubeNo,NUMBERWORKERS,NUMBERQUEENS,NUMBERMALES,NUMBERLARVAE,NUMBERCOCOONS,IDENTIFIER,GENUSID,SPECIESID,DATEIDENTIFICATION,CONFIRMEDID,SPECIESIDFINAL,COMMENTSID,BARCODELABEL,PREPARATION,SPECIFICAUTHOROFRECORD,SPECIFYEVENT,PROJECT,DIGITIZEDBY,DIGITIZEDDATE,X24,identified,COMMENTSqc,TypeOfSample,TypeOfOpen,Categorie,mixedForest,X,Y,lat,lon,FixTimeGPS,bio1_tmean_8110,bio2_dr_8110,bio1_tmean_8110_8111,bio2_dr_8110_8111,bio5_tmaxw_8110,bio6_tminc_8110,bio7_tar_8110,bio8_twetq_8110,bio9_tdryq_8110,bio10_twarmq_8110,bio11_tcoldq_8110,bio12_p_8110,bio13_pwet_8110,bio14_pdry_8110,bio15_ps_8110,bio16_pwetq_8110,bio17_pdryq_8110,bio18_pwarmq_8110,bio19_pcoldq_8110,mnt25,slope25,topo,south,gt_ch_100,LU18_46cl,LC18_27cl,propArea,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Date,Sample_date,SoilTemp,SoilTempAnomaly,Grass,Forb,Shrub,Bare,Litter,Moss,Plot_id_orig,SoilTempSiteMean,geometry,nPlots,el_plot,slope_plot
178,521166,280102,9990000,10,NA,NA,NA,NA,NA,Lasius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,meadow,Autre,0,521138.578,165964.714,46.641548,6.409425,NA,756,773,3073,64471,2138,-378,2516,410,302,1560,105,137763,13929,10081,982,38588,31366,32476,35214,794.9,3.187054,-13,6,3,221,21,0.717304988,Low,796.0710963,791,31.99089772,728,878,150,86.59612297,87.5,261.8997885,262,-33.40387703,-32.5,228.4845607,229.5,28,20190720,20.07.2019,21.4,-0.221428571,5,0,0,0,0,0,280102,21.62142857,"c(713493.189846446, 5883872.58916115)",25,790,10.6632309
146,569134,50901,9990001,15,NA,NA,NA,NA,Galkowski,Myrmica,Myrm_rugi,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,other,lisiere,0,569629.4055,133954.1782,46.357533,7.044941,NA,630,851,3420,61286,1994,-495,2489,1394,172,1394,1,150268,15382,10573,1279,44293,32829,44293,35064,1050.1,13.24126,31,100,3,222,21,0.110561129,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,5,20190718,18.07.2019,15.1,-2.258333333,1,2,2,1,1,3,50901,17.35833333,"c(784240.761439573, 5837828.31326135)",24,1041,17.41208649
713,509158,351204,9990002,NA,NA,NA,NA,NA,TS,Myrmica,Myrm_scab,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Myrmica,NA,soil,NA,PrairieSeche,0,509912.5674,158124.9742,46.569603,6.264337,NA,546,690,2995,59984,1816,-487,2303,262,1270,1301,-72,197518,20252,13806,1087,56192,45057,45752,52170,1384.1,13.85001,-22,66,19,242,21,0.152087089,Jura,1351.543379,1349,17.48633546,1314,1416,102,53.5,53.5,258,258,-63.5,-63.5,194,194,35,20190705,05.07.2019,24.1,6.436,3,2,0,2,0,1,351204,17.664,"c(697345.423649565, 5872103.40160243)",25,1388,19.60144806
399,521174,290400,9990003,NA,NA,NA,NA,NA,NA,Formica SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,NA,ForetConifere,10,521593.8248,174392.2391,46.717414,6.413931,NA,753,809,3118,65525,2156,-438,2594,397,1512,1565,93,150035,15256,10702,1036,42109,33514,34496,38981,714,24.23188,-112,12,3,301,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
229,563142,90101,9990004,10,NA,NA,NA,NA,NA,Tetramorium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,pasture,Autre,0,563859.481,142226.875,46.431673,6.969322,13.07.19 12:55,582,799,3311,60074,1901,-511,2412,1333,114,1333,-36,167802,17053,11146,1332,49275,36567,49275,37384,1535.3,31.9011,-123,58,7,421,52,0.282181778,Alps,1400.550802,1399.5,136.0172315,1106,1741,635,49.76609151,53,266.5373186,267,-73.65200726,-70.5,192.6839671,196,9,20190713,13.07.2019,17.3,3.12,3,3,0,2,0.1,0.1,90101,14.18,"c(775826.106087125, 5849794.44598017)",25,1529,36.06317139
131,57201203,410902,9990005,3,1,NA,NA,NA,TS,Leptothorax,Lept_acer,2019,oui (Salata),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leptothorax,NA,soil,other,lisiere,0,572140.3482,121007.7044,46.241168,7.078343,NA,570,813,3346,60336,1903,-526,2429,1322,107,1322,-52,164985,16976,11602,1348,49253,36352,49253,38103,1615.8,21.57556,-126,27,3,242,21,0.209856484,Alps,1880.315345,1855,182.8106172,1557,2250,693,23.5,23.5,268,268,-100.5,-100.5,167.5,167.5,41,20190717,17.07.2019,12.1,-0.160869565,3,3,2,1,1,1,410902,12.26086957,"c(787963.66216066, 5819081.38208871)",23,1622,21.02437592
56,57711503,70500,9990006,2,NA,NA,NA,NA,NA,Camponotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,NA,ForetFeuillus,100,577869.9355,150167.9549,46.503725,7.151244,NA,452,840,3468,58628,1762,-661,2423,1181,-19,1181,-156,150104,15296,9585,1393,44202,32288,44202,36800,1459.2,36.72313,-73,63,21,243,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09.07.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
711,509158,351204,9990007,NA,NA,NA,NA,NA,NA,Tetramorium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,soil,NA,PrairieSeche,0,509914.2136,158125.052,46.569604,6.264358,NA,545,689,2995,59962,1815,-487,2302,262,1269,1300,-72,197699,20270,13813,1087,56247,45109,45818,52199,1384.1,13.85001,-22,66,19,242,21,0.152087089,Jura,1351.543379,1349,17.48633546,1314,1416,102,53.5,53.5,258,258,-63.5,-63.5,194,194,35,20190705,05.07.2019,24.1,6.436,3,2,0,2,0,1,351204,17.664,"c(697345.423649565, 5872103.40160243)",25,1388,19.60144806
916,515166,300103,9990008,NA,NA,NA,NA,NA,TS,Formica,Form_fusca,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Formica,NA,soil,pasture,Autre,0,515419.9201,165907.4619,46.640332,6.334743,NA,578,739,3098,61191,1885,-501,2386,280,1308,1345,-51,180412,18820,12892,1140,51136,39988,40609,48495,1328,7.463235,33,5,19,301,41,0.361724224,Jura,1288.146325,1294,25.98983207,1174,1341,167,58.5,58.5,258,258,-59,-59,199,199,30,20190725,25.07.2019,,,3,2,0,2,0,2,300103,NaN,"c(705180.784114398, 5883561.49778865)",25,1324,14.85959053
441,57781263,420100,9990009,NA,NA,NA,NA,NA,Lebas,Formica,pressilabris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,transect,pasture,Autre,0,578148.4368,126628.1065,46.291955,7.155982,05.08.19 12:15,353,749,3260,57365,1602,-694,2296,1069,-127,1069,-244,207483,21058,14009,1370,61563,44788,61563,49572,1841.2,26.36577,-55,14,7,242,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,05.08.2019,,,,,,,,,NA,NA,"c(NA, NA)",NA,NA,NA
