Plot_id,TypeOfOpen
010101,pasture
010102,pasture
010103,pasture
010104,NA
010105,pasture
010106,pasture
010107,NA
010108,NA
010109,pasture
010401,NA
010402,NA
010403,NA
010404,NA
010405,NA
010406,NA
010501,NA
010601,NA
010901,NA
010902,NA
010903,NA
010904,NA
011101,NA
011301,NA
011501,NA
020101,NA
020102,crop
020103,meadow
020104,NA
020105,pasture
020106,NA
020107,NA
020108,meadow
020109,NA
020110,NA
020111,crop
020112,NA
020113,NA
020201,NA
020401,NA
020501,NA
020601,NA
020901,NA
021502,NA
021301,NA
021302,NA
021501,NA
030101,NA
030102,lawn
030103,NA
030104,pasture
030105,NA
030106,pasture
030107,lawn
030108,NA
030109,NA
030110,pasture
030111,NA
030112,NA
030401,NA
030402,NA
030403,NA
030501,NA
030601,NA
030901,NA
030902,NA
030903,NA
031201,NA
031301,NA
031501,NA
040101,pasture
040102,NA
040103,pasture
040104,NA
040105,pasture
040106,NA
040107,pasture
040108,NA
040109,NA
040110,pasture
040111,NA
040112,pasture
040113,pasture
040401,NA
040601,NA
040801,NA
040901,NA
040902,NA
041001,NA
041101,NA
041201,NA
041202,NA
041301,NA
041501,NA
050101,pasture
050102,pasture
050103,pasture
050104,NA
050105,NA
050106,pasture
050107,NA
050401,NA
050402,NA
050403,NA
050404,NA
050405,NA
050406,NA
050501,NA
050601,NA
050602,NA
050603,NA
050604,NA
050901,NA
050902,NA
050903,NA
051301,NA
051501,NA
051502,NA
060101,NA
060102,NA
060103,meadow
060104,NA
060105,NA
060401,NA
060402,NA
060501,NA
060502,NA
060601,NA
060602,NA
060603,NA
060901,NA
061301,NA
061501,NA
061502,NA
070101,NA
070102,pasture
070103,pasture
070104,NA
070105,NA
070106,NA
070107,pasture
070108,pasture
070109,NA
070110,NA
070111,pasture
070401,NA
070402,NA
070403,NA
070404,NA
070405,NA
070406,NA
070407,NA
070501,NA
070601,NA
070901,NA
070902,NA
071301,NA
071401,NA
071501,NA
080101,pasture
080102,pasture
080103,pasture
080104,NA
080105,pasture
080106,NA
080107,NA
080108,NA
080109,NA
080110,pasture
080111,pasture
080112,NA
080113,NA
080114,pasture
080401,NA
080402,NA
080403,NA
080601,NA
080801,NA
080901,NA
080902,NA
081001,NA
081201,NA
081301,NA
081501,NA
090101,pasture
090102,pasture
090103,pasture
090104,NA
090105,other
090106,NA
090107,pasture
090401,NA
090402,NA
090403,NA
090404,NA
090405,NA
090406,NA
090407,NA
090501,NA
090502,NA
090503,NA
090601,NA
090602,NA
090603,NA
090604,NA
090901,NA
090902,NA
091301,NA
091501,NA
100101,meadow
100102,pasture
100103,pasture
100104,NA
100105,NA
100106,pasture
100107,meadow
100108,NA
100109,pasture
100110,meadow
100301,NA
100401,NA
100501,NA
100502,NA
100601,NA
100602,NA
100901,NA
100902,NA
100903,NA
101201,NA
101202,NA
101301,NA
101501,NA
101502,NA
101503,NA
110101,NA
110102,meadow
110103,meadow
110104,meadow
110105,NA
110106,NA
110107,NA
110301,NA
110401,NA
110501,NA
110601,NA
110901,NA
111301,NA
111401,NA
111501,NA
120101,NA
120102,pasture
120103,NA
120104,NA
