BDMCORRECTED,PLOTCORRECTED,TUBECORRECTED,GENUSID,SPECISID,TUBE,BDM,Habitat,HabitatName
527182,230104,9990378,Myrmica,Myrm_scab,9990378,527182,01,Autre
527182,230108,9990380,Myrmica,Myrm_scab,9990380,527182,01,Autre
527182,230108,9991543,Serviformica,NA,9991543,527182,01,Autre
527182,230108,9990366,Serviformica,NA,9990366,527182,01,Autre
527182,230110,9990309,Lasius,NA,9990309,527182,01,Autre
527182,230111,9990915,Formica,Form_lugubris/paralugubris,9990915,527182,01,Autre
527182,230111,9990042,Myrmica,Myrm_lobu,9990042,527182,01,Autre
527182,230112,9990733,Myrmica,Myrm_scab,9990733,527182,01,Autre
527182,230503,9991140,Temnothorax,NA,9991140,527182,05,ForetFeuillus
527182,230503,9991113,Formica,fusca/lemani,9991113,527182,05,ForetFeuillus
527182,230503,9990720,Formica,Form_lema,9990720,527182,05,ForetFeuillus
527182,231301,9990369,Serviformica,NA,9990369,527182,13,transport
527182,231501,9990088,Lasius,Lasi_flav,9990088,527182,15,ZoneConstruite
527182,230100,9990960,Coptoformica,NA,9990960,527182,01,Autre
527182,230100,9990288,Coptoformica,NA,9990288,527182,01,Autre
527182,230100,9990361,Coptoformica,NA,9990361,527182,01,Autre
527182,230100,9990768,Coptoformica,NA,9990768,527182,01,Autre
527182,230100,9990323,Coptoformica,NA,9990323,527182,01,Autre
527182,230100,9991575,Coptoformica,NA,9991575,527182,01,Autre
527182,230100,9990346,Coptoformica,NA,9990346,527182,01,Autre
527182,230100,9990373,Coptoformica,NA,9990373,527182,01,Autre
527182,230100,9990292,Coptoformica,NA,9990292,527182,01,Autre
527182,230100,9991538,Coptoformica,NA,9991538,527182,01,Autre
527182,230100,9990335,Coptoformica,NA,9990335,527182,01,Autre
527182,230100,9990315,Lasius,Lasi_flav,9990315,527182,01,Autre
527182,230100,9990270,Lasius,Lasi_flav,9990270,527182,01,Autre
527182,230100,9991558,Lasius,Lasi_flav,9991558,527182,01,Autre
497142,390101,9992694,Myrmica,NA,9992694,497142,01,Autre
497142,390102,9990566,Formica,Form_lema,9990566,497142,01,Autre
497142,390106,9990996,Formica,Form_lema,9990996,497142,01,Autre
497142,390107,9991089,Coptoformica,NA,9991089,497142,01,Autre
497142,390107,9990958,Formica,Form_lema,9990958,497142,01,Autre
497142,390107,9991928,Coptoformica,NA,9991928,497142,01,Autre
497142,390107,9990999,Formica,Form_lema,9990999,497142,01,Autre
497142,390107,9990885,Coptoformica,NA,9990885,497142,01,Autre
497142,390108,9991066,Myrmica,NA,9991066,497142,01,Autre
497142,390108,9992717,Myrmica,NA,9992717,497142,01,Autre
497142,390109,9990523,Coptoformica,NA,9990523,497142,01,Autre
497142,390110,9990711,Formica,Form_lema,9990711,497142,01,Autre
497142,390110,9990806,Coptoformica,NA,9990806,497142,01,Autre
497142,390110,9991902,Formica,Form_lema,9991902,497142,01,Autre
497142,390901,9993277,Formica,Form_prat,9993277,497142,09,lisiere
497142,391101,9991697,Tetramorium,NA,9991697,497142,11,pierrier
497142,391201,9991077,Temnothorax,NA,9991077,497142,12,PrairieSeche
497142,391201,9991827,Formica,Form_lema,9991827,497142,12,PrairieSeche
497142,391202,9991665,Coptoformica,NA,9991665,497142,12,PrairieSeche
497142,391202,9991645,Coptoformica,NA,9991645,497142,12,PrairieSeche
497142,391203,9991866,Formica,Form_lema,9991866,497142,12,PrairieSeche
497142,391205,9991194,Manica,Mani_rubi,9991194,497142,12,PrairieSeche
497142,391206,9991139,Myrmica,NA,9991139,497142,12,PrairieSeche
497142,391208,9990734,Myrmica,Myrm_rugi,9990734,497142,12,PrairieSeche
497142,391301,9990688,Myrmica,NA,9990688,497142,13,transport
497142,391301,9990340,Formica,fusca/lemani,9990340,497142,13,transport
497142,391501,9991704,Coptoformica,NA,9991704,497142,15,ZoneConstruite
497142,390100,9990790,Coptoformica,NA,9990790,497142,01,Autre
497142,390100,9993113,Coptoformica,NA,9993113,497142,01,Autre
497142,390100,9992322,Coptoformica,NA,9992322,497142,01,Autre
497142,390100,9992128,Coptoformica,NA,9992128,497142,01,Autre
497142,390100,9992313,Coptoformica,NA,9992313,497142,01,Autre
497142,390100,9990301,Coptoformica,NA,9990301,497142,01,Autre
497142,390100,9991106,Coptoformica,NA,9991106,497142,01,Autre
497142,390100,9990172,Coptoformica,NA,9990172,497142,01,Autre
497142,390100,9993281,Coptoformica,NA,9993281,497142,01,Autre
497142,390100,9991080,Coptoformica,NA,9991080,497142,01,Autre
497142,390100,9991127,Coptoformica,NA,9991127,497142,01,Autre
497142,390100,9992343,Coptoformica,NA,9992343,497142,01,Autre
497142,390100,9991116,Coptoformica,NA,9991116,497142,01,Autre
497142,390100,9991143,Coptoformica,NA,9991143,497142,01,Autre
497142,390100,9993117,Coptoformica,NA,9993117,497142,01,Autre
497142,390100,9990918,Coptoformica,NA,9990918,497142,01,Autre
497142,390100,9991922,Coptoformica,NA,9991922,497142,01,Autre
497142,390100,9991132,Coptoformica,NA,9991132,497142,01,Autre
497142,390100,9992155,Coptoformica,NA,9992155,497142,01,Autre
497142,390100,9991150,Coptoformica,NA,9991150,497142,01,Autre
497142,390100,9991135,Coptoformica,NA,9991135,497142,01,Autre
497142,390100,9990076,Coptoformica,NA,9990076,497142,01,Autre
497142,390400,9990959,Formica,Form_prat,9990959,497142,04,ForetConifere
497142,390400,9990555,Formica,Form_prat,9990555,497142,04,ForetConifere
497142,391200,9990521,Coptoformica,NA,9990521,497142,12,PrairieSeche
497142,391200,9991726,Coptoformica,NA,9991726,497142,12,PrairieSeche
497142,391200,9991463,Coptoformica,NA,9991463,497142,12,PrairieSeche
497142,391200,9990895,Coptoformica,NA,9990895,497142,12,PrairieSeche
497142,391200,9991770,Coptoformica,NA,9991770,497142,12,PrairieSeche
497142,391200,9990893,Coptoformica,NA,9990893,497142,12,PrairieSeche
497142,391200,9990900,Coptoformica,NA,9990900,497142,12,PrairieSeche
497142,391200,9992730,Coptoformica,NA,9992730,497142,12,PrairieSeche
497142,391200,9991691,Coptoformica,NA,9991691,497142,12,PrairieSeche
497142,391200,9990557,Coptoformica,NA,9990557,497142,12,PrairieSeche
497142,391200,9990753,Coptoformica,NA,9990753,497142,12,PrairieSeche
497142,391200,9991138,Coptoformica,NA,9991138,497142,12,PrairieSeche
497142,391200,9991095,Coptoformica,NA,9991095,497142,12,PrairieSeche
497142,391200,9990516,Coptoformica,NA,9990516,497142,12,PrairieSeche
497142,391200,9991644,Coptoformica,NA,9991644,497142,12,PrairieSeche
497142,391200,9992723,Coptoformica,NA,9992723,497142,12,PrairieSeche
497142,391200,9991109,Coptoformica,NA,9991109,497142,12,PrairieSeche
497142,391200,9993308,Coptoformica,NA,9993308,497142,12,PrairieSeche
497142,391200,9990050,Coptoformica,NA,9990050,497142,12,PrairieSeche
497142,391200,9991897,Coptoformica,NA,9991897,497142,12,PrairieSeche
497142,391200,9991293,Coptoformica,NA,9991293,497142,12,PrairieSeche
497142,391200,9991947,Coptoformica,NA,9991947,497142,12,PrairieSeche
497142,391200,9990704,Formica,Form_cuni,9990704,497142,12,PrairieSeche
497142,391200,9992713,Coptoformica,NA,9992713,497142,12,PrairieSeche
497142,391200,9990910,Coptoformica,NA,9990910,497142,12,PrairieSeche
497142,391200,9992734,Coptoformica,NA,9992734,497142,12,PrairieSeche
