BDM,region,el_mean,el_median,el_stdev,el_min,el_max,el_range,MAT_mean,MAT_median,TAR_mean,TAR_median,Tmin_mean,Tmin_median,Tmax_mean,Tmax_median,BDM_id,Sample_date,n_plots,SoilTemp_mean,SoilTemp_sd,Grass_mean,Grass_sd,Forb_mean,Forb_sd,Shrub_mean,Shrub_sd,Bare_mean,Bare_sd,Litter_mean,Litter_sd,Moss_mean,Moss_sd
569118,Alps,1494.574289,1484.5,96.46883143,1291,1725,434,56,56,271,271,-70,-70,201,201,01,2019-08-22,24,13.075,1.4590795192443284,2.1708333333333334,1.6538437880774348,2.5,1.103354568734741,0.925,1.0931605554537724,2.1666666666666665,0.8681147322824312,0.9291666666666667,1.550730309484413,1.1,1.122884484360431
563126,Low,378.3511943,379,9.401487125,350,417,67,111.5,111.5,275,275,-16.5,-16.5,259.5,259.5,02,2019-08-15,22,19.29047619047619,1.5968421217843551,2.6714285714285713,1.2276574673510756,2.342857142857143,1.259988662080508,0.5238095238095238,1.123345344008138,1.9047619047619047,1.3380867649282653,0.919047619047619,1.290201165562583,0.29523809523809524,0.45768568961263195
575126,Alps,1629.718954,1588,198.1879005,1349,2050,701,42.22131623,37.5,269.4097201,269,-82.64046109,-87,186.1723127,181.5,03,2019-07-15,23,13.826086956521738,2.300635760216243,1.8304347826086957,1.2237924596064986,3.3043478260869565,1.1455361035021452,0.7956521739130434,0.8911066974527008,1.5347826086956522,1.184217691770384,1.482608695652174,1.3726723021216163,0.808695652173913,0.9774331148836457
581134,Alps,1772.179104,1733,114.6126976,1602,2090,488,30.5,30.5,267,267,-93.5,-93.5,173.5,173.5,04,2019-08-08,24,15.05,2.4246918226410976,3.25,0.7939992333804207,3.0416666666666665,0.9078961186825509,1.0041666666666667,1.247773379182735,1.2166666666666666,1.2067443325153722,0.6416666666666667,1.0034361255062598,0.6583333333333333,0.681377547559971
569134,Alps,1202.197174,1176,130.3389701,929,1466,537,62.5,62.5,269.5,269.5,-62.5,-62.5,207,207,05,2019-07-18,24,17.358333333333334,4.037316873398951,2.125,1.596531566702726,2.2625,1.2010185894372798,0.95,1.2233240531970402,1.1916666666666667,1.0210466355089065,2.4166666666666665,2.2441550490235675,0.8875,1.1444810861354324
557134,Low,381.0155239,380,6.350562383,363,401,38,112.8791562,113,273.1801618,273,-14.12084385,-14,258.8791562,259,06,2019-08-24,16,18.05,1.4505171491575002,1.5,1.591644851508443,2.31875,1.437228235180481,1.75,1.9148542155126762,1.875,1.5438048235879214,1.9375,1.4361406616345072,0.53125,0.7972609359550987
575142,Alps,1191.383078,1190,77.84300952,1065,1383,318,64.5,64.5,269.5,269.5,-60,-60,208.5,208.5,07,2019-07-16,25,16.676000000000002,3.61827306874426,2.736,1.9674179356032448,2.644,1.1768885532057258,1.004,1.2215018078851405,1.296,1.1911059286786099,0.964,1.0562827904180458,1.336,1.7129117509862166
581150,Alps,1273.713728,1268,57.74913801,1173,1426,253,59,59,267.5,267.5,-65.5,-65.5,202.5,202.5,08,2019-08-25,25,16.54,2.1234798484249073,3.04,1.457166199626293,2.2,1.5545631755148024,0.28,0.6137317546507323,1.132,1.040720903989153,0.608,0.9077995373429092,0.936,1.769387841411072
563142,Alps,1400.550802,1399.5,136.0172315,1106,1741,635,49.76609151,53,266.5373186,267,-73.65200726,-70.5,192.6839671,196,09,2019-07-13,25,14.18,1.9065675964937618,1.256,1.4083323471396942,2.288,1.293354810818233,0.648,1.1090987332063813,1.54,1.2034672132357132,2.724,1.5877867195145154,0.876,0.9553707831692014
557150,Low,751.5364281,754,80.81869007,588,902,314,89,89,268.5,268.5,-35,-35,233.5,233.5,10,2019-08-06,25,20.288,2.442389540320435,2.804,1.4923359764699993,2.324,1.1362511459473503,0.92,1.1874342087037917,1.484,0.8649084729996964,1.612,1.6963981450905523,0.612,0.7546080660404667
